issuer_id,company_name,brand_or_product_line,product_name,category,certifications,cert_ids_or_details,prefecture_or_region,booth,website,event,collector,program,nda_required,status,evidence_url,photo_proof_url,collected_date,visibility,notes
1,Haranoseichahonpo Inc.,Oku Yame Tea,"Oku Yame Tea (Gyokuro, Hojicha, Genmaicha, Sencha, Shiraore)",Green tea,JFS-B,JFS-B24002904-0,Fukuoka,A12,https://haranoseichahonpo.com,Japan Food Expo 2025,Sapient,pilot,false,submitted,,https://github.com/Sapient-Predictive-Analytics/hashirwa/blob/main/proof/haranoseichahonpo.jpg?raw=true,2025-11-02,public,Collected during Expo booth interview
2,Miyagi Farm Co.,Ltd.,,egg (free range),Poultry; Produce,GAP,,Okinawa,,https://miyaginouen.com,Japan Food Expo 2025,Sapient,pilot,false,submitted,,https://github.com/Sapient-Predictive-Analytics/hashirwa/blob/main/proof/miyagi-farm.jpg?raw=true,2025-11-02,public,Collected during Expo booth interview
3,Tomin Sake Company,,Tomin Namazake,Sake,"Liquor Tax Act classification; Brewery License Registration; Rice Polishing Ratio declaration; Export Health Certificate (Japan)","Junmai Ginjo Nama",Toyama,C13,https://www.tomin-sake.co.jp/tomin,Japan Food Expo 2025,Sapient,pilot,false,submitted,, ,2025-11-02,public,Collected during Expo booth interview
4,Sata Souji Shouten Ltd.,Kouzou Shuzo,Shochu,Shochu,,,"Kagoshima",B12,https://www.kouzou-shuzou.co.jp,Japan Food Expo 2025,Sapient,pilot,false,submitted,, ,2025-11-02,public,Collected during Expo booth interview
5,Unique Bosai Co.,Ltd.,,Dashi Rice Porridge (Okayu),Emergency/Prepared Foods,JFS-B,,,"B21",https://www.uniquebosai.co.jp,Japan Food Expo 2025,Sapient,pilot,false,submitted,, ,2025-11-02,public,Collected during Expo booth interview
6,Marutomo Bussan,,Japanese dried shiitake,Dried mushrooms,"Oita Dried Shiitake Council; HACCP; PCQI (FDA compliant)",,Oita,,https://www.marutomo-kanbutsu.co.jp/,Japan Food Expo 2025,Sapient,pilot,false,submitted,,"https://github.com/Sapient-Predictive-Analytics/hashirwa/blob/main/proof/marutomo-bussan.jpg?raw=true; https://github.com/Sapient-Predictive-Analytics/hashirwa/blob/main/proof/marutomo-bussan2.jpg?raw=true; https://github.com/Sapient-Predictive-Analytics/hashirwa/blob/main/proof/marutomo-bussan3.jpg?raw=true; https://github.com/Sapient-Predictive-Analytics/hashirwa/blob/main/proof/marutomo-bussan4.jpg?raw=true; https://github.com/Sapient-Predictive-Analytics/hashirwa/blob/main/proof/marutomo-bussan5.jpg?raw=true",2025-11-02,public,Collected during Expo booth interview
7,Kimuraya Seafood Co., Ltd.,,Mozuku (seaweed),Seaweed,"MEL (Marine Eco-Label) certified; Tottori SDGs Company Certification",,Tottori,,https://mozuku-1ban.jp,Japan Food Expo 2025,Sapient,pilot,false,submitted,, ,2025-11-02,public,Collected during Expo booth interview
8,Sawarabi Co.,Ltd,,Edomae Aged Sweet Potato,,,"",Chiba,B32,https://www.sawarabi.com,Japan Food Expo 2025,Sapient,pilot,false,submitted,,https://github.com/Sapient-Predictive-Analytics/hashirwa/blob/main/proof/sawarabi.jpg?raw=true,2025-11-02,public,Collected during Expo booth interview
9,Ako Aranami Salt Co.,Ltd,,Shiitake Salt,Salt/Seasoning,Vegan certification,,Hyogo,C02,https://www.aranami.co.jp/,Japan Food Expo 2025,Sapient,pilot,false,submitted,,https://github.com/Sapient-Predictive-Analytics/hashirwa/blob/main/proof/ako-aranami-salt.jpg?raw=true,2025-11-02,public,Collected during Expo booth interview
10,Sankyo Foods Co.,Ltd.,,Genmai Gokochi,Brown Rice (Microwavable) + GABA,,,"Osaka",A22,https://www.sankyofoods.com,Japan Food Expo 2025,Sapient,pilot,false,submitted,,https://github.com/Sapient-Predictive-Analytics/hashirwa/blob/main/proof/sankyo-foods.jpg?raw=true,2025-11-02,public,Singapore representative confirmed no certificates; Collected during Expo booth interview

